subj,RT,cond,type,confresponse
103,2.7243998050689697,words,2,5
103,1.36080002784729,words,2,1
103,0.5182999968528748,words,1,3
103,0.9739000201225281,words,1,6
103,1.6516999006271362,words,1,3
103,0.23510000109672546,words,1,99
103,0.7439000010490417,words,1,1
103,0.23539999127388,words,2,99
103,0.3342999815940857,words,1,4
103,0.2460000067949295,words,2,99
103,0.8707999587059021,words,1,2
103,2.17110013961792,words,2,6
103,1.5781999826431274,words,2,3
103,1.1053999662399292,words,1,2
103,0.6442000269889832,words,2,1
103,0.972000002861023,words,2,5
103,0.6626999974250793,words,1,6
103,0.09259999543428421,words,2,99
103,0.7362000346183777,words,2,6
103,0.8000999689102173,words,2,4
103,1.104200005531311,words,1,4
103,0.49789997935295105,words,1,6
103,1.5394999980926514,words,2,6
103,3.6277999877929688,faces,1,5
103,0.93340003490448,faces,1,1
103,1.2554000616073608,faces,2,1
103,2.255000114440918,faces,1,6
103,1.9364999532699585,faces,2,6
103,1.3436999320983887,faces,1,4
103,1.738300085067749,faces,2,3
103,1.3978999853134155,faces,1,2
103,0.8741999864578247,faces,2,5
103,1.1068000793457031,faces,2,6
103,1.06440007686615,faces,1,6
103,1.057300090789795,faces,2,4
103,2.5898001194000244,faces,2,1
103,2.741300106048584,faces,2,4
103,1.0898000001907349,faces,2,1
103,1.4781999588012695,faces,1,3
103,2.9842000007629395,faces,2,4
103,3.375200033187866,faces,1,4
103,3.827699899673462,faces,1,3
103,1.412500023841858,faces,2,4
103,3.468600034713745,faces,2,3
103,3.365800142288208,faces,2,4
103,0.9225999712944031,faces,2,3
103,3.7523000240325928,faces,2,3
103,3.357800006866455,faces,1,4
103,1.9259999990463257,faces,1,3
103,2.8173999786376953,faces,2,4
103,2.1588997840881348,faces,1,3
103,0.39980000257492065,faces,1,4
103,1.2098000049591064,faces,2,3
103,1.6731998920440674,faces,2,5
103,0.9222000241279602,faces,2,5
103,1.9488999843597412,faces,1,5
103,1.988300085067749,faces,1,2
103,1.5302000045776367,faces,2,1
103,1.107699990272522,faces,2,4
103,0.9972999691963196,faces,1,1
